ACNO,Title,出版社,Authur Name
C08789,"細細的潮音 : 散文, 散文詩導讀",洪波/江蘇科學技術出版社,"陳彪, 徐杰, 周炳純等"
C08794,幻想小說系列‧半夜別開窗,洪波/江蘇少年兒童,彭愨
C08795,DA MOTA大魔塔,洪波/江蘇少年兒童,彭愨
C08797,<<墨子>><<韓非子>精美解讀,洪波、廣東教育,賀遠寧
C08798,文言文拓展閱讀(一),洪波/江蘇文藝出版社,"顧洪英, 蔣光宏, 王新華等"
C08799,文言文拓展閱讀(二),洪波/江蘇文藝出版社,"顧洪英, 蔣光宏, 王新華等"
C08802,語文‧文學常識與寫作,洪波/江蘇教育出版社,"周?, 錢俊之, 趙海雲等"
C08803,語文‧語言基礎知識(一),洪波/江蘇教育出版社,"周?, 錢俊之, 趙海雲等"
C08804,語文‧語言基礎知識(二),洪波/江蘇教育出版社,"周?, 錢俊之, 趙海雲等"
C08805,語文‧現代文閱讀,洪波/江蘇教育出版社,"錢俊之, 周?, 趙海雲等"
C08806,語文‧古詩文閱讀,洪波/江蘇教育出版社,"錢俊之, 周?, 趙海雲等"
C08809,古散文拓展閱讀與應考(二),洪波/江蘇文藝出版社,"龔學東, 宋梅, 聞各群等"
C08810,how to TYPE 世界創意字體設計100 ,龍溪國際圖書有限公司,光乍現工作室
C08811,新平面設計原理,龍溪國際圖書有限公司,"艾琳‧路佩登, 珍妮佛‧寇勒‧菲利浦"
C08812,邁向項尖設計師,商周,史帝芬‧布赫
C08814,馬上就能學會的陶藝入門,漢欣文化,"上田宗壽, 河合竹彥"
C08815,用不同的觀點和你一起欣賞世界名畫,信實文化行銷有限公司,許汝紘
C08816,現代藝術，怎麼一回事?,臉譜/城邦文化,蘿斯‧狄更斯
C08817,攝影師之眼 : 數位攝影的思考、設計和構圖,大家出版社,麥可‧弗里曼
C08819,赤心之葉,青桐社,徐焯賢
C08820,青海之石,青桐社,徐焯賢
C08821,紅瞳之火,青桐社,徐焯賢
C08822,朗朗--我用鋼琴改變世界,遠流出版事業股份有限公司,朗朗
C08823,古典音樂,凱信出版集團,森本真由美
C08824,中國音樂欣賞,五南圖書出版公司,"修海林, 李吉提"
C08825,THE BEATLES(披頭四 : 唯一正式授權傳記),商周出版,"杭特, 戴維斯"
C08826,看懂音定樂的大眼睛,"國立中正文化中心, PAR表演藝術雜誌","林秋玫, 吳智聰, 曾智寧"
C08828,大師的軌跡 : 音樂入門記事,科技圖書股份有限公司,李文枝
C08829,西方音樂欣賞,五南圖書出版公司,"修海林, 李吉提"
C08830,學音樂很easy : 創造音樂奇蹟的教學法,商訊文化事業股份有限公司,張鎮洲
C08831,感到，如此創造 : 日本電影配樂大師久石讓的音樂,麥田出版有限公司,久石讓
C08832,70's 西洋流行音樂史記,麥書國際文化事業有限公司,查爾斯
C08833,輕鬆愛上古典音樂,如果出版社,高?知佐子
C08834,人與琴,原點出版,希爾多‧E‧史坦威
C08835,別讓統計數字騙了你,天下遠見,"赫夫, 蓋斯"
C08836,從旅遊學數學,天下遠見,曹亮吉
C08837,數學小魔女,天下遠見,"莎拉‧夫蘭納里, 大衛‧夫蘭納里"
C08839,毛起來說三角,天下遠見,毛爾
C08840,浮城1.2.3 : 西西小說新析,三聯,何福仁
C08841,香港短篇小說選2000-2001,三聯,許子東
C08843,活著,麥田出版有限公司,余華
C08844,數學教室A to Z : 數學證明難題和大師背後的故事,商周,威廉‧鄧漢
C08845,幾何原本導讀,九章,梁子傑
C08846,數學證明,九章,蕭文強
C08849,魅力 : 超班演說的全面剖析,藍天圖書,雪兒‧琳恩
C08850,魅力 : 超班演說的全面剖析,藍天圖書,雪兒‧琳恩
C08851,禮儀師之奏鳴曲,台灣東販股份有限公司,百瀨偲
C08852,不平則鳴 : 王永平論政,天窗出版 / 信報財經新聞有限公司,王永平
C08853,梁醒波傳 : 亦慈亦俠亦詼諧,經濟日報,"吳鳳平, 鍾嶺崇"
C08855,我愛芝士蛋糕,嘉出版有限公司,"福田淳子, 信太康代, 柳瀨久美子"
C08856,簡易蛋糕甜品自煮樂,嘉出版有限公司,作者
C08857,潮平岸闊--高錕自述,三聯書店,高錕
C08858,盛世,Oxford University Press (China) Ltd.,高錕
C08859,叛逆歲月16 : 懸在夜空的泡泡夢,青桐社,君比
C08860,拉丁美洲真相之旅,馬可孛羅文化,張翠容
C08864,數學與藝術 : 無窮的碎片,上海世紀出版股份有限公司,伊凡斯‧彼得生
C08865,為什麼公亞車一次來3班?,城邦文化事業股份有限公司,"羅勃‧伊斯威, 傑瑞米‧溫德漢"
C08866,十萬個為什麼 : 數學篇I,商務印書館,王建磐
C08867,十萬個為什麼 : 數學篇II,商務印書館,王建磐
C08868,從生活中學數學,天下遠見,曹亮吉
C08869,從月曆學數學,天下遠見,曹亮吉
C08870,從天文地理學數學,天下遠見,曹亮吉
C08871,統計你贏的機率,天下遠見,萊文森
C08873,燃料電池基礎,全華圖書股份有限公司,"Ryan O'hayre, Suk-Won Cha, Whitney Colella etc."
C08874,馴服暖化猛獸 : CO2對抗記,時報文化出版企業有限公司,"瓦勒斯‧布羅克, 羅伯‧庫齊格"
C08875,打造化學力 : 網打盡你必備的化學基礎(上),天下遠見,"柯布, 費特洛夫"
C08876,打造化學力 : 一網打盡你必傭的化學基礎(下),天下遠見,"柯布, 費特洛夫"
C08880,大氣 : 萬物的起源,商周出版,嘉貝麗‧沃爾克
C08881,馬鈴薯拯救了一鍋湯?,臉譜/城邦文化,羅伯特‧沃克
C08884,無毒保健康,新自然主義股份有限公司,陳修玲
C08887,料理圖鑑,遠足文化事業股份有限公司,越智登代子
C08889,"義大利菜教科書 : 67種道地料理, 700張豐富步驟圖解",大塊文化出版股份有限公司,川上文代
C08890,拎著環保包去逛街,雅書堂文化事業有限公司,王海
C08891,摺布，就是玩花樣兒!,雅書堂文化事業有限公司,林素伶
C08894,有關文化的100個素養,驛站文化事業有限公司,楊明華
C08895,武士與旅人 : 續科學筆記,三民書局股份有限公司,高涌泉
C08896,此物最相思,麥田,張曼娟
C08897,克肢害羞輕鬆說話,春光出版,麻生顯太郎
C08898,張愛玲的文字世界,九歌出版社有限公司,劉紹銘
C08899,茅盾，老舍，沈從文 : 寫實主義與現代中國小說,城邦文化事業股份有限公司,王德威
C08902,書法,台灣學生書局,崔陟
C08903,透視悲歡人生 : 小說評論與賞析,台灣學生書局,歐宗智
C08906,中國傳統文化十五講,五南圖書出版公司,龔鵬程
C08907,時間的故事,五南圖書出版公司,克里斯‧特尼
C08908,深度報導,五南圖書出版公司,周慶祥
C08910,影視編劇基礎,五南圖書出版公司,Nell D. Hicks
C08911,現代文壇繽紛錄 : 作家剪影,秀威資訊科技股份有限公司,秦賢次
C08912,鳶尾盛開 : 文學評論與作家印象,聯合文學出版社有限公司,張瑞芳
C08913,文學地圖館 : 唐詩,遠足文化事業股份有限公司,遠足文學倘編輯組
C08914,植物強白質 : 豆類,智慧大學出版有限公司,敏濤
C08915,健康一定要新蔬食生活 : 120個V星人美好飲食秘笈,柿子文化事業有限公司,柿子
C08916,"舊是簡單, 包你會做包",華成圖書出版股份有限公司,樹月
C08917,舊變新!改造我的時尚丹寧風,瑞昇文化事業股份有限公司,郭湘齡
C08919,用不織布做甜點2,教育之友文化,ERIKARIKA
C08920,遜咖日記 : 葛瑞不能說的秘密,博識圖書出版有限公司,Jeff Kinney
C08921,遜咖日記 : 葛瑞的中學求生記,博識圖書出版有限公司,Jeff Kinney
C08922,博精深新 我的演出法,林家聲慈善基金有限公司,林家聲
C08923,?紫嫣紅開遍,三聯,盧瑋鑾
C08925,無毒家事王 : 讓全家都健康的清潔、收納、布置200招,方智,劉大慶
C08926,香港經濟年鑑 2009  (Hong Kong Economy Yearbook 2009),經濟導報社,楊靄儀
C08927,食藥不如食得好,皇冠出版社(香港)有限公司,周兆祥
C08928,目送,天地圖書有限公司,龍應台
C08929,龍應台的香港筆記@沙灣徑25號,天地圖書有限公司,龍應台
C08930,大江四海 : 一九四九,天地圖書有限公司,龍應台
C08931,Q&A,皇冠文化,VIKAS SWARUP
C08932,96公分的滿足,文經出版社有限公司,豐田詔子
C08933,不一樣的天空,經濟日報出版社,沈祖堯
C08935,圖解魔法知識,奇幻基地出版,羽仁禮
C08936,大崩壞,時報文化,賈德‧戴蒙
C08937,啊!這就是香港,Cup Magazine Publishing Ltd.,空氣
C08939,中國風 : 歌詞裡的文字遊戲,第一人稱傳播事業股份有限公司,李慶昭
C08941,跟奧巴馬學英語,中信出版社,胡敏
C08942,偵探伽利略,獨步文化,東野圭吾
C08943,一點小信仰,大塊文化出版股份有限公司,米奇‧艾爾邦(Mitch Albom)
C08944,暮光之城 : 破曉,尖端出版有限公司,史蒂芬妮‧梅爾
C08945,暮光之城 : 蝕,尖端出版有限公司,史蒂芬妮‧梅爾
C08946,走過死蔭的樹下,快樂書房有限公司,莊紹賢
C08947,新厚黑學,漢宇國際文化有限公司,"沈傑, 萬彤"
C08948,旗幟插圖百科,汕頭大學,阿爾佛雷德‧茲納梅沃斯基
C08949,開發精確的思考‧新編,匯智出版有限公司,陶國璋
C08950,每天懂一點成功概率學,陝西師範大學出版社,野口哲典
C08951,圖解擘劃世界情勢的40大經濟理論,易博士,"璇, 賴逸如, 李承璟等"
C08952,叛逆歲月17 : 一秒鐘的深情告白,青桐社,君比
C08954,傷城殺人事件,亮光文化有限公司,梁科慶
C08955,佐賀的超級阿嬤,先覺,島田洋七
C08957,達文西 : 偉大的天才,新雅文化事業有限公司,羅伯特‧賈科博
C08959,冷知識，熱場面,如何出版社有限公司,百科全書網
C08961,世界上最難解的謎,可道書房,褚良才‧長虹‧楊詠梅‧韓曉露
C08962,青花餈 : 隱藏在釉色裡的文字秘密,第一人稱傳播事業股份有限公司,方文山
C08964,我的父親母說(母),立緒文化,胡適等
C08965,"中國語文不難學, 為甚麼我總是學不好?",文化工房,許迪鏘
C08966,閒話中國人,秦電電業股份有限公司,易中天
C08967,縫熊志,三聯,西西
C08968,聽楊絳談往事,時報文化,吳學昭
C08969,余光中精選集,明報月刊出版社 / 新加坡青年書局,余光中
C08970,描寫文批改範例38篇,中華書局(香港)有限公司,劉慶華
C08971,記敘文批改範例38篇,中華書局(香港)有限公司,劉慶華
C08972,抒情文批改範例38篇,中華書局(香港)有限公司,劉慶華
C08973,活著,麥田出版有限公司,余華
C08974,此物最相思,麥田,張曼娟
C08975,香港中學生新詩佳作100首,風雅出版社,關夢南
C08976,唐詩100首 創作談,風雅出版社,關夢南
C08977,蘇菲的世界(上),智庫,喬斯坦‧賈德
C08978,蘇菲的世界(下),智庫,喬斯坦‧賈德
C08980,中國語文趣話(增訂版),香港學生文藝出版社有限公司,康家瓏
C08981,倪匡短篇,明窗出版社,倪匡
C08982,圖解三十六計,好讀出版,張弓
C08983,孩子你慢慢來,生活、讀書、新知 三聯書店,龍應台
C08985,海邊的卡夫卡(下),時報文化出版企業有限公司,村上春樹
C08986,安妮的日記,志文出版社,安妮‧法蘭克
C08989,不一樣的天空,經濟日報,沈祖堯
C08990,香港三大才子,利文出版社,沈西城
C08991,老人與海,晨星出版有限公司,厄尼斯特‧海明威
C08992,少男心事,山邊出版社有限公司,宋詒瑞
C08993,五月的第一天,山邊出版社有限公司,黃虹堅
C08994,這個男孩不太冷,山邊出版社有限公司,馬翠蘿
C08996,兩個Cute女孩,山邊出版社有限公司,韋娙
C08997,甜甜圈日記,山邊出版社有限公司,利倚思
C08999,超「凡」同學之不可思議昏睡事件,山邊出版社有限公司,桃默
C09000,超凡新同學之天水圍城事件,山邊出版社有限公司,桃默
C09001,中二丁班,山邊出版社有限公司,關麗珊
C09002,我不是黑羊,山邊出版社有限公司,關麗珊
C09003,睡公主和騎士,山邊出版社有限公司,關麗珊
C09004,我們都是第一名,山邊出版社有限公司,鄭國強
C09005,和好朋友說Yes,山邊出版社有限公司,鄭國強
C09006,四個10A的少年,山邊出版社有限公司,君比
C09007,他叫Uncle Joe,山邊出版社有限公司,君比
C09008,誰來愛我,山邊出版社有限公司,君比
C09009,繪畫樂園 : 畫家的私房秘技,碁峰資訊股份有限公司,游素蘭
C09010,邁向頂尖設計師,商周出版,史蒂芬‧布赫
C09011,推開藝術大師的家門 : 倫敦、巴黎、維也納的人文散步,圓神,田苑京
C09012,百花齊放 : 33位最具影響力的現代藝術家及其作品,信實文化行銷有限公司,魏尚河
C09013,用不同的觀點和你一起欣賞世界名畫,信實文化行銷有限公司,許汝紘
C09014,3分鐘看懂名畫,原點出版,早?優子
C09015,自己玩陶瓷彩繪,教育之友文化,林淑敏
C09018,書法,貓頭鷹出版社,崔陟
C09019,漢字書法之美 : 舞動行草,遠流出版事業股份有限公司,蔣勳
C09020,簡單學會水性色鉛筆,城邦文化事業股份有限公司,石川道子
C09021,色鉛筆的溫柔彩繪,積木文化,秋草愛+夥伴們
C09022,馬上就能學會的油畫入門,漢欣文化,劉素真
C09023,如何成為頂尖插畫家,積木文化,戴洛‧瑞斯(Darrel Rees)
C09024,水彩畫的寧靜美感進階技法,瑞昇文化事業股份有限公司,高崎尚昭
C09025,設計的上下左右,臉譜,羅蘋‧威廉斯
C09026,藝術練習簿 : 26位大師獨門創意,格林文化,麗茲‧司高根
C09027,平面設計就是這麼簡單!,三采文化,柘植博芳
C09028,不敗經典設計,原點出版,凱薩琳‧麥克戴蒙
C09029,插畫設計市集304,三采文化出版事業有限公司,早?優子
C09030,教你看懂西洋名畫 : 全世界美術館館藏盡收眼底,尖端,早?優子
C09031,漫畫基本技巧訓練3 : 活力線條表現篇,楓書坊文化出版社,Go office
C09032,超級鉛筆素描講座 : 簡易入門篇,楓書坊文化出版社,繒畫技法研究社
C09033,看到什麼都會畫,天下遠見,魯迪‧狄‧雷納
C09034,基礎鉛筆素描技法,楓書坊文化出版社,Forum 11
C09035,多采多姿之人物素描技法,楓書坊文化出版社,岩崎宏
C09036,人物畫技法完全BOOK,楓書坊文化出版社,岩崎宏
C09037,漫畫背景&透視技法,楓書坊文化出版社,日下部夏月
C09038,透視技法3 : 構圖篇,楓書坊文化出版社,椎名見早子
C09039,悠游自在之水彩風景寫生,楓書坊文化出版社,福井良佑
C09040,波西傑克森1 : 神火之賊,遠流出版事業股份有限公司,雷克‧萊爾頓
C09041,波西傑克森2 : 妖魔之海,遠流出版事業股份有限公司,雷克‧萊爾頓
C09042,波西傑克森3 : 泰坦魔咒,遠流出版事業股份有限公司,雷克‧萊爾頓
C09043,波西傑克森4 : 迷宮戰場,遠流出版事業股份有限公司,雷克‧萊爾頓
C09044,波西傑克森5 : 終極天神,遠流出版事業股份有限公司,雷克‧萊爾頓
C09045,了解人在想什麼 : 一生受用的心理學入門,究竟出版社服務股份有限公司,"澀谷昌三, 小野寺敦子"
C09046,極地700哩,如果出版社,"蓋伊‧賽利伯里, 來尼‧賽利伯里"
C09047,食物與廚藝 : 奶‧蛋‧肉‧魚,大家出版社,哈洛德‧馬基
C09048,玩藝圖鑑 : 170種手創玩具完全指南,遠足文化事業股份有限公司,木內勝
C09049,大句話，一輩子受用,青源出版社,蔣慧瑜
C09050,腸命百歲 : 腸道權威最新展齡保健大典,時報文化出版企業有限公司,蔡英傑
C09051,食物與廚藝 : 蔬‧果‧香料‧穀物,大家出版社,哈洛德‧馬基
C09052,恐怖的家庭有毒物質,"蘋果屋出版社, 檸檬樹國際書版有限公司",林碧霞
C09054,不一樣的人體使用手冊,漢字國際文化有限公司,KangHyunSuk
C09055,小和尚的白粥館2 : 111個滋潤人心的小故事,晨星出版有限公司,釋戒?
C09056,愛是永恆當所愛是你?!?!,明窗出版社,卓韻芝
C09057,第一探長的最後正義,博雅書屋有限公司,約翰‧瑞辛吉
C09058,別鬧了!昆蟲 : 不可思議的昆蟲新常識100,晨星出版有限公司,森昭彥
C09059,超乎想像的氣味驚奇 : 50種氣味與費洛蒙的秘密,晨星出版有限公司,"外崎肇一, 越中矢住子"
C09060,睡覺為什麼會做夢? : 夢遊、說夢話'鬼壓床...等睡眠的科學解密,晨星出版有限公司,堀忠雄
C09062,圖解英語文法大全,"我識出版集團, 懶鬼子英日語",蘇秦
C09063,一口氣讀懂經濟學,臉譜/城邦文化,"董典波, 黃曉林"
C09064,綠色EQ,時報文化出版企業有限公司,丹尼爾‧高曼
C09065,凍 : 挑戰人生極限的生命紀錄,馬可孛羅文化,澤木耕太郎
C09067,上班族英語會話句典,五南圖書出版公司,石渡
C09068,生活英語會話句典,五南圖書出版公司,范佳程
C09069,7000單字放口袋,"我識出版集團, 懶鬼子英日語","蘇秦, Chris Forbrook"
C09070,臨時需要的一句話,"我識出版集團, 懶鬼子英日語",Edward Wu
C09071,失落的符號,時報文化,丹‧布朗
C09074,我不再沉默,木馬文化事業股份有限公司,洛莉‧荷茲‧安德森
C09076,只有貓知道,臉譜,仁木悅子
C09077,美味人生烹飪課,麥田出版有限公司,艾瑞卡‧包曼斯特
C09078,不聽話的女兒,馬可孛羅文化,茹‧富里曼
C09079,因為我愛你,皇冠出版社,紀優‧穆索
C09081,就說你和他們一樣,商周出版,烏文‧阿克潘
C09082,被放逐的孩子,商周出版,珊蒂‧瓊絲
C09083,香港歷史問題資料選評,三聯書店(香港)有限公司,"余繩武, 劉存寬, 劉蜀永"
C09084,新界簡史,三聯書店(香港)有限公司,劉潤和
C09085,簡明香港史(新版),三聯書店(香港)有限公司,劉蜀永
C09086,國史概要(插圖修訂本),三聯書店(香港)有限公司,樊樹志
C09088,抉擇 : 1949 中國知識分子的私人記錄,八旗文化,傅國湧
C09089,王安可傳,東方出版社,梁啟超
C09091,遠流活用成語辭典,遠流出版事業股份有限公司,陳鐵君
C09092,運動傷害防護學,華都文化事業有限公司,駱明瑤
C09093,運動休閒管理,華都文化事業有限公司,駱明瑤
C09095,運動創傷康復診療,品冠文化出版社,"林貴福, 盧淑雲"
C09096,中西醫會診 : 運動傷害,書泉出版社,"藍智騰, 陳振能, 何紹彰"
C09097,羽毛球技巧圖解,大展出版社有限公司,彭美麗
C09098,一看就懂!健檢&數值事典,三采文化出版事業有限公司,范志怡
C09099,較勁 : 中國、日本、印度三強鼎立的亞洲新紀元,雅言文化出版股份有限公司,比爾‧艾摩特
C09100,不存在的女兒,木馬文化,金‧愛德華茲
C09103,脊椎健康‧全身健康,瞼譜出版,瞼譜出版製作小組
C09105,陪妳到最後,商周文化,瑞‧科倫
C09106,然後呢...,皇冠文化,紀優‧穆索
C09107,Q版特工23 : 地焰劫,突破出版社,梁科慶
C09108,Q版特工24 : 幻見,突破出版社,梁科慶
C09111,中國文化的傳承與開拓,陝西師範大學出版社,"王宏志, 梁元生, 羅炳良"
C09112,中國歷史常識,陝西師範大學出版社,??
C09113,歷史在說謊 : 世界篇,人類智庫股份有限公司,廖惠玲
C09116,中國大歷史,三聯,黃仁宇
C09117,歷史、傳說與精神 : 中國大學百年,三聯,陳原平
C09118,中外名學者論21世紀初的中國,三聯,"熊景明, 關信基"
C09119,季羨林談佛,三聯,季羨林
C09120,世界文明史 : 後篇(從工業革命到現代),五南圖書出版公司,"Philip L. Ralph, Edward Mcnall Burns"
C09125,你必須知道的470個世界歷史常識,培育文化,于震
C09126,大江大海一九四九,天地圖書有限公司,龍應台
C09127,香港文化政治,香港大學出版社,"馬傑偉, 吳俊雄, 呂大樂"
C09128,西行找中國,天地圖書,張倩儀
C09129,1Q84 : Book 1 4月-6月,時報文化,村上春樹
C09130,1Q84 : Book 2 7月-9月,時報文化,村上春樹
C09131,中國工人訪談錄 : 關於集體記憶的故事,商務印書館,賈樟柯
C09132,吞聲忍語 : 日治時期香港人的集體回憶,中華書局,"劉智鵬, 周家健"
C09133,吃羅宋餐的日子,三聯,鄧小字
C09134,青玉案,Oxford,董橋
C09135,小特首慳錢日記,香港小童群益會,
C09136,鍍金中國 : 中國雄起的虛與實,Oxford University,"王苗, 劉陽"
C09137,破謬思維,天窗,林沛理
C09138,鍍金中國 : 大國雄起的虛與實,天窗,許知遠
C09139,我相信我能飛,格林文化,鍾怡雯
C09140,STOP!跳蚤為什麼住在狗身上?,三采文化,"Kim, San-ha"
C09141,在如來佛掌中 : 張東蓀和他的時代,中文大學出版社,戴晴
C09142,守夜 : 詩歌自選集1972-2008,Oxford University,北島
C09148,做個鹼性健康人,有名堂,"劉正才, 朱依柏, 鄒金賢"
C09149,T恤大改造,麥田,SARAH SOCKIT
C09150,生活魔法家 :居家實用妙點子300招,如何出版社有限公司,陳映如
C09151,初中數學奧林匹克課程第一冊,香港數學奧林匹克學校/香港數學學校,陸子民
C09152,初中數學奧林匹克課程第二冊,香港數學奧林匹克學校/香港數學學校,陸子民
C09153,初中數學奧林匹克課程第三冊,香港數學奧林匹克學校/香港數學學校,陸子民
C09155,死亡，別狂傲,突破出版社,蘇恩佩
C09156,F.5A,突破出版社,關麗珊
C09157,穿人字拖的公主,突破出版社,王心靈
C09158,風語,明報出版社有限公司,麥家
C09159,跟葉太學英語: Learning English with Regina,明報出版社有限公司,葉劉淑儀
C09161,光明女樂,明窗出版社,黃明樂
C09164,爆政 維園阿哥,明報出版社,"馬草泥, 星屑醫生"
C09166,日本中毒,天窗出版,湯禎兆
C09167,命名日本,天窗出版,湯禎兆
C09168,整形日本,天窗出版,湯禎兆
C09169,地產霸權,天窗出版,潘慧嫻
C09170,打工遊日本情報書,天窗出版,潘頌禧
C09171,中國練乙錚文集5,天窗出版 / 信報財經新聞有限公司,練乙錚
C09172,鍍金中國 : 大國雄起的虛與實,天窗,許知遠
C09173,一家帆遊 : 浪遊世界一千天的幸福,天窗,張惠侶
C09174,風轉西藏 : 我在拉薩賣咖啡,天窗,Pazu薯伯伯
C09175,老闆要的不是牛,天窗,司徒永富
C09178,通識詞典1,Roundtable Publishing,"陳家傑, 陳偉信, 鍾樂偉等"
C09179,通識詞典3,Roundtable Publishing,"陳振寧, 馮鍵恒, 甘文峰等"
C09180,通識詞典4,Roundtable Publishing,"鍾樂偉, 陳偉信, 李峻嶸等"
C09181,通識詞典5,Roundtable Publishing,"陳偉信, 梁振嶽, 林秋霞等"
C09182,2010香港高級程度會考中國文學考試報告及試題專輯(附評卷參考),香港考試及評核局,/
C09183,2010香港中學會考中國歷史考試報告及試題專輯(附評卷參考),香港考試及評核局,/
C09184,2010香港高級程度會考中國語文及文化考試報告及試題專輯(附評卷參考和聆聽光碟),香港考試及評核局,/
C09185,2010香港中學會考中國語文考試報告及試題專輯(附評卷參考和聆聽考試光碟),香港考試及評核局,
C09186,2010香港中學會考中國文學考試報告及試題專輯(附評卷參考),香港考試及評核局,
C09187,2010香港中學會考中國歷史考試報告及試題專輯(附評卷參考),香港考試及評核局,
C09188,HKDSEE Common errors 中國語文 常犯錯誤,Hong Kong Joint-Us Press Limited,Vikki Wong
C09191,廚房新手 : 食材選購與料理圖鑑,商周出版,蘋果日報副刊中心
C09192,生活圖鑑 : 1200個幸福居家妙點子,遠足文化事業股份有限公司,越智登代子
C09193,百味豆腐 : 103道美味健康豆腐料理,幸福文化出版社,蔡萬利
C09194,和Winnie一起玩布作,雅書堂文化事業有限公司,Winnie柯佩緯
C09195,"在世界中寫作, 為世界而寫",天地圖書有限公司,董啟章
C09196,政治改革大博弈 : 溫家寶七談政改風波,天地圖書有限公司,錢鋼
C09197,釣魚列島的歷史和主權問題,天地圖書有限公司,井上清
C09199,香港電影夜與霧,生活書房,湯禎兆
C09200,大工地上中國農民之歌,商務印書館,"瀋毅, 盧暉館, 張慧鵬"
C09201,香港‧文化‧研究,香港大學出版社,"吳俊雄, 馬傑偉, 呂大樂"
C09202,英文玩家,天窗出版 / 信報財經新聞有限公司,林沛理
C09204,全球議題72詞,匯智出版有限公司,"李裕維, 黃偉國, 陳詠倫等"
C09205,2012中國經濟不能說的秘密 : 一個趨勢投資家的真實告白,高寶書版集團,林洸興
C09206,如何寫看圖作英文,學習出版有限公司,劉毅
C09208,文化研究60詞,匯智出版,"朱耀偉, 陳英凱, 朱振威"
C09209,當代中國84詞,匯智出版有限公司,"黃偉國, 莊璟?, 陳詠倫等"
C09210,雪舞者,圓神出版社有限公司,盧基揚年科
C09211,天使遊戲,圓神出版社有限公司,卡洛斯‧魯依斯‧薩豐
C09212,幻夜(上),獨步文化,東野圭吾
C09213,幻夜(下),獨步文化,東野圭吾
C09214,城市三部曲2 : 地獄邊界,皇冠文化,向達倫
C09215,城市三部曲3 : 謎幼蛇城,皇冠文化,向達倫
C09216,城市三部曲1 : 愛猶瑪卡名單,皇冠文化,向達倫
C09217,關夢南寫作10堂課 : 嬴在作文起跑線,香港學生文藝出版社有限公司,關夢南
C09218,關夢南新詩10堂課 : 中學生寫作提速班,香港學生文藝出版社有限公司,關夢南
C09219,拉丁美洲真相之旅,馬可孛羅文化,張翠容
C09220,中東現場--揭開伊斯蘭世界的衝突迷霧,馬可孛羅文化,張翠容
C09221,圖解希臘三哲學,易博士/城邦文化,"黃翰哲, 易博士編輯部"
C09222,圖解經濟學,易博士/城邦文化,"溫美珍, 易博士編輯部"
C09223,圖解哲學,城邦文化事業股份有限公司,"李忠謙, 易博士編輯部"
C09224,香港‧生活‧文化,Oxford,董橋
C09225,橄欖香,Oxford,董橋
C09227,12神探俱樂部,漫遊者文化事業股份有限公司,帕布羅‧桑帝斯
C09228,世界史圖解,城邦文化事業股份有限公司/商周出版事業部,宮崎正勝
C09229,圖解中國國情手冊,中華書局(香港)有限公司,梁振威
C09230,你的態度，決定你的高度,青源出版社,蔣慧瑜
C09231,愛是這樣解毒,突破出版社,基督教正生書院同學
C09232,日本電影十大,INK印刻出版有限公司,"鄭樹明, 舒明"
C09233,人生不設限 : 我那好得不像話的生命體驗,方智,力克‧胡哲
C09235,世界既簡單又複雜,漫遊者文化事業股份有限公司,傑佛瑞‧克魯格
C09237,地獄事典,奇幻基地出版,草野巧
C09238,天鵝賊,大塊文化出版股份有限公司,伊麗莎白‧柯斯托娃
C09239,好壤英語 : 學英文20年都不懂的150條小問題 : 小問題通大道理 沒問題才是大問題,亮光文化有限公司,古德明
C09240,種子哪裡來? : 令人驚嘆的種子生態、演化與應用,商周,強納森‧席佛頓
C09241,認識DNA : 基因科學的過去、現在與未來,商周,林正焜
C09242,世界第一簡單分子生物學,世茂出版社,武村政春
C09243,有機神話的謊言 : 有機蔬菜可能的危險,世潮,林正焜
C09244,糖譜 : 別怕糖尿病 血糖控制自己來,天下雜誌股份有限公司,財團法人糖尿病關懷基金會
C09245,有機神話的謊言 : 有機蔬菜可能的危險,天下雜誌股份有限公司,蘇珊‧佛瑞柏格
C09246,微生物搞怪學,天下遠見,班巴拉克
C09247,血液的奧祕 : 你必須知道的血液知識,天下遠見,伍焜玉
C09248,不可思議的生態系統,晨星出版有限公司,兒玉浩憲
C09249,流行病毒如何讓人致命?,晨星出版有限公司,?中正一
C09250,血液的不可思議,晨星出版有限公司,奈良信雄
C09251,人體疾病圖解大百科,方舟文化出版社,
C09252,看懂膽固醇健康數值,幸福綠光股份有限公司,平野勉
C09253,生命是最精彩的推理小說 : 一個生物學家眼中的奇妙世界,寶瓶文化,福岡伸一
C09254,從來不放棄 : 關於癌症，腫瘤科醫師給你的真心建議,寶瓶文化,蘇志中
C09255,遠離疾病的生活方式,晨星出版有限公司,"石原結實, 安保徹"
C09256,維他命吃對了才健康,知青頻道出版有限公司,胡建夫
C09257,吟遊詩人皮陀故事集,皇冠文化,J.K羅琳
C09258,走進內心世界,洪波/江蘇少年兒童,"趙梅, 王禹"
C09259,捍衛生命長城,洪波/江蘇少年兒童,"龍振洲, 謝蜀生, 呂秀齊等"
C09260,享受的風險 : 綠色生活篇,洪波/江蘇少年兒童,李濟英
C09261,舒適的代價 : 環境篇,洪波/江蘇少年兒童,"曹南燕, 何芝江"
C09262,"""廢物""的報復 : 垃圾的泛濫與利用",洪波/江蘇少年兒童,李利亞
